review_id,review,sentiment_label,sentiment_score,identified_theme,all_themes,rating,date,bank,source,clean_text
f618ad43-dbd4-487a-b1cf-e3e3e6d93dbb,good,Positive,0.9998,Other,Other,5,2026-03-22,CBE,Google Play,good
b780110f-c277-4c37-8497-71b6bc7024b6,CBE is my beast one for any transactions,Positive,0.9963,Transaction performance,Transaction performance,5,2026-03-22,CBE,Google Play,cbe beast one transaction
e5851983-37ab-4b1b-b945-158cc09d6c1e,very good,Positive,0.9999,Other,Other,5,2026-03-22,CBE,Google Play,good
0b2d535b-2e6d-4008-ab95-37a21c428dfe,I Am Proud Of CBE Period!!!,Positive,0.9998,Other,Other,5,2026-03-22,CBE,Google Play,proud cbe period
bc9503fe-36c1-4968-9306-ca923f6f1d9a,Ebrahim muhamad omar,Positive,0.9576,Other,Other,5,2026-03-22,CBE,Google Play,ebrahim muhamad omar
1d36e835-d855-4b57-832d-eee46ccc0d30,M doubloons sffggfdeefg Dffffffdq2sffffff,Negative,0.9954,Other,Other,5,2026-03-21,CBE,Google Play,doubloon sffggfdeefg dffffffdq sffffff
ce97d95e-1f38-4289-8b95-6f5ff52009ca,digital banking,Positive,0.9698,Other,Other,5,2026-03-21,CBE,Google Play,digital banking
a3a8098a-6090-4f71-bc98-0d0c10a03828,it is very good service you are giving,Positive,0.9999,Other,Other,5,2026-03-21,CBE,Google Play,good service giving
266ab464-1be3-4b84-a17f-871d945a2948,ps fast and easy,Positive,0.9975,UI & experience,UI & experience,5,2026-03-21,CBE,Google Play,fast easy
a2f8bd7d-012a-4509-b2b2-f3a62934fbd7,nice app for me,Positive,0.9997,Other,Other,3,2026-03-21,CBE,Google Play,nice app
ee70f343-8b30-4354-9225-a1a2d7e96c38,vibe,Positive,0.9988,Other,Other,4,2026-03-21,CBE,Google Play,vibe
7d3f7f6a-7075-4d17-9ce4-c68e10508eaa,Tajajilli keessan dubati Hafadha አገልግሎታችሁን ዱባቲ ሀፋድህን አቆይ Your service will stay behind,Positive,0.877,Other,Other,1,2026-03-21,CBE,Google Play,tajajilli keessan dubati hafadha አገልግሎታችሁን ዱባቲ ሀፋድህን አቆይ service stay behind
34115524-a7e4-4f0a-b1d9-d1c1894d3b90,mobayelbanekgng,Negative,0.92,Other,Other,5,2026-03-21,CBE,Google Play,mobayelbanekgng
5d863609-c7e8-4dcc-8dd1-4dd4e354e18b,ገላግሌ ብየዋለው ጥድት ያለ አፕ,Negative,0.8832,Other,Other,5,2026-03-20,CBE,Google Play,ገላግሌ ብየዋለው ጥድት
d07e2804-de78-49a9-a73e-24612e86b874,best app i like it,Positive,0.9998,Other,Other,5,2026-03-20,CBE,Google Play,best app like
a0bb1280-04fd-4e3c-8242-728cd9ad0d58,it is really very poor application. i've ever experienced.,Negative,0.9998,Other,Other,1,2026-03-20,CBE,Google Play,really poor application ever experienced
74ea6412-b96d-453d-9f32-c2288eeff6c8,wow ✌️,Positive,0.9993,Other,Other,5,2026-03-19,CBE,Google Play,wow
c0013711-a9c4-4ac9-8124-72bc0b20841f,EASY & SIMLPE TO MANIPULATE. COGRATS !!,Negative,0.9856,UI & experience,UI & experience,4,2026-03-19,CBE,Google Play,easy simlpe manipulate cograts
5a954f00-75f7-4b43-9986-74bdd9c588fd,zewediesh,Negative,0.903,Other,Other,4,2026-03-19,CBE,Google Play,zewediesh
1d3b00e1-ed77-4771-ae4b-b99616edfa3c,nice app,Positive,0.9998,Other,Other,4,2026-03-19,CBE,Google Play,nice app
ea7332f7-f713-443a-9fed-2f623a7fd4df,Perfect App,Positive,0.9998,Other,Other,5,2026-03-19,CBE,Google Play,perfect app
79488558-3eea-4cb2-8fff-4c95b6b9bd5b,🆗 g,Neutral,0.5324,Other,Other,5,2026-03-19,CBE,Google Play,
cca8213e-bd66-486c-bef9-966082148c89,the best app of mobile banking,Positive,0.9998,Other,Other,5,2026-03-18,CBE,Google Play,best app mobile banking
0e927c17-7dbb-474f-9051-9f9ed133c954,ዝም ብሉ ይዞራል 😡😡😡,Negative,0.8616,Other,Other,3,2026-03-18,CBE,Google Play,ይዞራል
60e4f94a-ce7a-4847-ac8c-167d5d31c779,the bank You can always relay on!,Positive,0.9956,Other,Other,5,2026-03-18,CBE,Google Play,bank always relay
60ac77c7-0bb8-4343-bbd1-c42903eedd6d,good,Positive,0.9998,Other,Other,1,2026-03-18,CBE,Google Play,good
46c5493b-5fda-449e-94e8-4c4e075f0fff,ok,Positive,0.9998,Other,Other,5,2026-03-18,CBE,Google Play,
22a97642-646f-43eb-89a2-b6299148d19b,good,Positive,0.9998,Other,Other,5,2026-03-18,CBE,Google Play,good
579c6c3c-c798-401a-a9d2-f2d879cb5cd9,"Why does this welcome notification appear every time the app is opened? It doesn’t add value in its current form, so please consider removing it. Alternatively, you could adjust it to appear only occasionally.",Negative,0.9992,Feature requests,Feature requests,4,2026-03-17,CBE,Google Play,welcome notification appear every time app opened add value current form please consider removing alternatively could adjust appear occasionally
609a8624-b6e0-4dc3-a9ed-9a251c5ea131,10Q U,Negative,0.7842,Other,Other,5,2026-03-17,CBE,Google Play,
b0358f77-2bc6-47c9-ad06-b62de8987b08,very interesting,Positive,0.9999,Other,Other,5,2026-03-17,CBE,Google Play,interesting
